super_opeid,name,type,tier,iclevel,state,count,access,success,mobility
1617,College Of Idaho ,Private Non-profit,Selective private,Four-year,ID,177,5.596683,34.591057,1.9359518
7694,College Of Lake County,Public,Two-year (public and private not-for-profit),Two-year,IL,1639,7.9248133,15.827456,1.2542963
1178,College Of Marin,Public,Two-year (public and private not-for-profit),Two-year,CA,580.66669,11.661103,14.720593,1.7165836
3033,College Of Mount Saint Joseph,Private Non-profit,Selective private,Four-year,OH,293,5.4493709,8.3953629,.45749447
212,College Of Mount Saint Vincent And Manhattan College,Private Non-profit,Selective private,Four-year,NY,831,9.2331686,62.63895,5.7835598
2642,College Of New Jersey ,Public,Other elite schools (public and private),Four-year,NJ,1263.6666,3.627264,49.851116,1.8082317
2704,College Of New Rochelle ,Private Non-profit,Selective private,Four-year,NY,222,24.111799,11.891632,2.8672864
2140,College Of Our Lady Of The Elms,Private Non-profit,Selective private,Four-year,MA,95.666664,8.6761923,21.699392,1.882681
2341,College Of Saint Benedict,Private Non-profit,Selective private,Four-year,MN,446.66666,2.5961447,47.799686,1.2409492
2600,College Of Saint Elizabeth,Private Non-profit,Selective private,Four-year,NJ,118.66666,9.4434509,26.508507,2.5033178
2705,College Of Saint Rose,Private Non-profit,Selective private,Four-year,NY,439.33334,5.919476,29.231087,1.7303271
2343,College Of Saint Scholastica,Private Non-profit,Selective private,Four-year,MN,336,4.5562282,48.05093,2.1893101
1619,College Of Southern Idaho,Public,Two-year (public and private not-for-profit),Two-year,ID,994.66669,13.033276,8.8541136,1.1539811
2064,College Of Southern Maryland,Public,Two-year (public and private not-for-profit),Two-year,MD,1225.3334,7.1568117,18.671286,1.3362688
10362,College Of Southern Nevada,Public,Nonselective four-year public,Four-year,NV,3829,12.047299,12.529078,1.5094155
2698,College Of Staten Island/CUNY,Public,Selective public,Four-year,NY,1361.3334,14.325194,28.86385,4.1348023
2917,College Of The Albemarle,Public,Two-year (public and private not-for-profit),Two-year,NC,349.33334,21.489429,2.1083174,.4530654
8903,College Of The Canyons,Public,Two-year (public and private not-for-profit),Two-year,CA,1868.6666,9.308095,16.967331,1.5793353
1182,College Of The Desert,Public,Two-year (public and private not-for-profit),Two-year,CA,1342.6666,24.684334,13.013613,3.2123237
2141,College Of The Holy Cross,Private Non-profit,Other elite schools (public and private),Four-year,MA,666.66669,2.0545232,48.680103,1.0001441
7096,College Of The Mainland,Public,Two-year (public and private not-for-profit),Two-year,TX,609,15.082945,13.755139,2.0746801
9976,College Of The Ouachitas,Public,Two-year (public and private not-for-profit),Two-year,AR,135.33333,16.971281,2.8080482,.47656175
2500,College Of The Ozarks,Private Non-profit,Selective private,Four-year,MO,218.5,17.934622,18.49605,3.3171966
1185,College Of The Redwoods,Public,Two-year (public and private not-for-profit),Two-year,CA,1064.6666,18.76749,7.5167217,1.4107
1186,College Of The Sequoias,Public,Two-year (public and private not-for-profit),Two-year,CA,1764.6666,21.755768,11.627213,2.5295894
1187,College Of The Siskiyous,Public,Two-year (public and private not-for-profit),Two-year,CA,345,18.95545,10.478048,1.9861612
5208,College Of Westchester ,Private For-profit,Four-year for-profit,Four-year,NY,176,19.217539,20.060772,3.8551867
3705,College Of William & Mary,Public,Other elite schools (public and private),Four-year,VA,1330.3334,1.346071,38.898666,.52360368
3037,College Of Wooster ,Private Non-profit,Selective private,Four-year,OH,419.66666,3.5116892,20.13604,.70711517
25943,CollegeAmerica Denver,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,CO,83,23.756598,8.8999186,2.1143179
23614,Collin County Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,2321,6.7232976,12.906219,.86772346
9401,Colorado Christian University,Private Non-profit,Selective private,Four-year,CO,183,4.1456532,8.5705099,.35530365
1347,Colorado College,Private Non-profit,Highly selective private,Four-year,CO,505,4.8108206,37.885078,1.8225832
1358,Colorado Mesa University,Public,Selective public,Four-year,CO,968,8.8197489,22.757122,2.0071208
4506,Colorado Mountain College,Public,Nonselective four-year public,Four-year,CO,725.66669,9.3963737,11.600466,1.090023
1359,Colorado Northwestern Community College,Public,Two-year (public and private not-for-profit),Two-year,CO,192.16667,9.5909376,19.90464,1.9090416
1348,Colorado School Of Mines,Public,Highly selective public,Four-year,CO,512,3.889935,64.04126,2.4911637
1350,Colorado State University,Public,Selective public,Four-year,CO,3939,3.160794,35.422451,1.1196307
1365,Colorado State University-Pueblo,Public,Selective public,Four-year,CO,499,10.2222,24.315037,2.4855316
10148,Colorado Technical University,Private For-profit,Four-year for-profit,Four-year,CO,523.66669,19.730598,8.8126907,1.7387966
6789,Columbia - Greene Community College - SUNY Office Of Cmnty Colleg,Public,Two-year (public and private not-for-profit),Two-year,NY,296.5,15.452711,14.1599,2.1880884
3774,Columbia Basin College,Public,Nonselective four-year public,Four-year,WA,1020.6667,10.458976,16.600052,1.7361953
1665,"Columbia College of Chicago, IL",Private Non-profit,Selective private,Four-year,IL,1584.3334,10.289799,9.2331715,.95007485
2456,"Columbia College of Columbia, MO",Private Non-profit,Selective private,Four-year,MO,748.33331,14.413707,12.319188,1.7756516
3430,"Columbia College of Columbia, SC",Private Non-profit,Selective private,Four-year,SC,161.33333,14.573449,8.9701738,1.3072637
41519,Columbia Gorge Community College,Public,Two-year (public and private not-for-profit),Two-year,OR,88,14.293604,11.151636,1.5939707
3429,Columbia International University,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,SC,115.5,11.83475,1.1908337,.14093219
3483,Columbia State Community College,Public,Two-year (public and private not-for-profit),Two-year,TN,923.66669,10.548632,9.3668537,.98807484
2707,Columbia University In The City Of New York,Private Non-profit,Ivy Plus,Four-year,NY,1244.3334,5.020813,61.217045,3.0735934
3039,Columbus College Of Art & Design,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,OH,245.5,6.2556891,25.537231,1.5975299
6867,Columbus State Community College,Public,Two-year (public and private not-for-profit),Two-year,OH,3626.3333,9.8598471,9.8663645,.97280842
1561,Columbus State University,Public,Selective public,Four-year,GA,803.33331,10.78043,16.551189,1.7842892
5624,Columbus Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,560,26.603285,2.9168458,.77597678
3231,Community College Of Allegheny County,Public,Two-year (public and private not-for-profit),Two-year,PA,2859,13.463691,8.8757343,1.1950014
2063,Community College Of Baltimore County,Public,Two-year (public and private not-for-profit),Two-year,MD,2751.3333,11.790532,13.984437,1.6488396
6807,Community College Of Beaver County,Public,Two-year (public and private not-for-profit),Two-year,PA,416,13.399538,6.0661101,.81283081
3249,Community College Of Philadelphia,Public,Two-year (public and private not-for-profit),Two-year,PA,2589,24.111738,11.805481,2.8465066
3408,Community College Of Rhode Island,Public,Two-year (public and private not-for-profit),Two-year,RI,3182,15.742569,9.7449255,1.5341016
3810,Concord University,Public,Selective public,Four-year,WV,501,12.968643,11.049538,1.4329751
2346,Concordia College - Moorhead,Private Non-profit,Selective private,Four-year,MN,623.66669,4.5202875,30.042875,1.3580244
2347,Concordia University - Saint Paul,Private Non-profit,Selective private,Four-year,MN,186.33333,7.655158,22.270838,1.7048677
3842,Concordia University - Wisconsin,Private Non-profit,Selective private,Four-year,WI,284.33334,5.4974685,14.889069,.8185218
3557,Concordia University Texas,Private Non-profit,Selective private,Four-year,TX,102.5,5.3078008,23.048796,1.2233841
20705,"Concordia University of Irvine, CA",Private Non-profit,Selective private,Four-year,CA,201,5.4093981,26.214737,1.4180595
3191,"Concordia University of Portland, OR",Private Non-profit,Selective private,Four-year,OR,111.33334,2.0543463,42.605381,.87526208
1666,"Concordia University of River Forest, IL",Private Non-profit,Selective private,Four-year,IL,213,4.7088618,16.293009,.76721531
2541,"Concordia University of Seward, NE",Private Non-profit,Selective private,Four-year,NE,262.33334,4.093502,17.163689,.70259595
1379,Connecticut College,Private Non-profit,Other elite schools (public and private),Four-year,CT,413.66666,3.1054907,50.867634,1.5796896
3153,Connors State College,Public,Two-year (public and private not-for-profit),Two-year,OK,366.66666,20.629696,10.983221,2.265805
30344,Conservatory Of Recording Arts & Sciences,Private For-profit,Less than two-year schools of any type,Less than Two-year,AZ,124,7.3527956,29.576513,2.1747005
44,Contra Costa Community College District,Public,Two-year (public and private not-for-profit),Two-year,CA,4957.6665,9.6791763,18.21537,1.7630978
3431,Converse College,Private Non-profit,Selective private,Four-year,SC,145,7.8901567,8.7477541,.69021147
2710,Cooper Union For The Advancement Of Science & Art ,Private Non-profit,Other elite schools (public and private),Four-year,NY,174.33333,8.2825212,51.646568,4.277638
2402,Copiah-Lincoln Community College,Public,Two-year (public and private not-for-profit),Two-year,MS,633.5,31.81024,10.296646,3.2753878
35424,Copper Mountain College,Public,Two-year (public and private not-for-profit),Two-year,CA,327,22.266489,17.435398,3.882251
1339,Corban University,Private Non-profit,Selective private,Four-year,OR,136.66667,4.5662422,10.328754,.47163591
1856,Cornell College,Private Non-profit,Selective private,Four-year,IA,272,3.5137136,24.787064,.87094641
2711,Cornell University,Private Non-profit,Ivy Plus,Four-year,NY,3074,4.8977413,59.35437,2.9070237
2266,Cornerstone University,Private Non-profit,Selective private,Four-year,MI,303.66666,3.950521,8.3443947,.32964706
2863,Corning Community College - SUNY Office Of Community Colleges,Public,Two-year (public and private not-for-profit),Two-year,NY,720.66669,12.722815,11.854537,1.5082307
12315,Cornish College Of The Arts,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,WA,104.5,6.6521225,12.657391,.84198517
22209,Cossatot Community College Of The University Of Arkansas,Public,Two-year (public and private not-for-profit),Two-year,AR,113.33334,31.473413,9.3669262,2.9480915
7729,County College Of Morris,Public,Two-year (public and private not-for-profit),Two-year,NJ,1468.5,5.9250755,18.5854,1.101199
3484,Covenant College,Private Non-profit,Selective private,Four-year,GA,206,7.2564373,29.66157,2.1523731
1902,Cowley County Community College & Area Vocational Technical Schoo,Public,Two-year (public and private not-for-profit),Two-year,KS,809.33331,8.9429464,11.390643,1.0186591
7549,Coyne College,Private For-profit,Two-year for-profit,Two-year,IL,149.33333,21.289909,19.669069,4.1875267
6799,Craven Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,472,18.641794,13.210657,2.4627035
2542,Creighton University,Private Non-profit,Selective private,Four-year,NE,728,2.9984152,53.443874,1.6024692
25964,Crimson Technical College,Private For-profit,Two-year for-profit,Two-year,CA,156,25.033554,30.048824,7.5222888
2459,Crowder College,Public,Two-year (public and private not-for-profit),Two-year,MO,464,18.316031,8.1940022,1.5008159
2383,Crown College,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,MN,142.66667,7.5402565,14.001968,1.0557843
1192,Cuesta College,Public,Two-year (public and private not-for-profit),Two-year,CA,1881.3334,10.63613,16.665659,1.7725811
7304,Culinary Institute Of America,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,531,5.1736088,29.177338,1.5095211
2460,Culver-Stockton College,Private Non-profit,Selective private,Four-year,MO,173,7.40482,21.080763,1.5609925
2601,Cumberland County College,Public,Two-year (public and private not-for-profit),Two-year,NJ,515.33331,14.982035,17.65066,2.6444278
3485,Cumberland University,Private Non-profit,Selective private,Four-year,TN,151.33333,13.668558,14.668319,2.0049477
2143,Curry College,Private Non-profit,Selective private,Four-year,MA,342,6.4112387,29.78377,1.9095086
3040,Cuyahoga Community College,Public,Two-year (public and private not-for-profit),Two-year,OH,3499.5,17.952957,5.726397,1.0280576
5594,D G Erwin Technical Center,Public,Two-year (public and private not-for-profit),Two-year,FL,166.33333,28.75808,9.5950012,2.7593379
2712,D'Youville College,Private Non-profit,Selective private,Four-year,NY,107.66666,14.159825,28.01111,3.9663243
4996,Dabney S Lancaster Community College,Public,Two-year (public and private not-for-profit),Two-year,VA,161.33333,13.802942,2.5245976,.34846878
2808,Daemen College,Private Non-profit,Selective private,Four-year,NY,250.66667,10.852973,14.272386,1.5489782
2995,Dakota College At Bottineau,Public,Two-year (public and private not-for-profit),Two-year,ND,135.33333,14.627684,11.892682,1.7396238
3560,Dallas Baptist University,Private Non-profit,Selective private,Four-year,TX,289.66666,6.0558891,13.721609,.83096552
31,Dallas County Community College District,Public,Two-year (public and private not-for-profit),Two-year,TX,8513,15.445296,13.343059,2.0608749
3956,Dalton State College,Public,Nonselective four-year public,Four-year,GA,719.66669,11.866969,10.684205,1.2678913
4731,Daniel Webster College,Private For-profit,Four-year for-profit,Four-year,NH,140,4.1364136,15.81502,.65417457
1669,Danville Area Community College,Public,Two-year (public and private not-for-profit),Two-year,IL,480.33334,14.193609,6.3686209,.9039371
3758,Danville Community College,Public,Two-year (public and private not-for-profit),Two-year,VA,472.66666,16.667162,6.7655349,1.1276226
2573,Dartmouth College,Private Non-profit,Ivy Plus,Four-year,NH,996,2.7713935,49.659542,1.3762614
1543,Darton State College,Public,Two-year (public and private not-for-profit),Two-year,GA,585,17.982718,7.7830019,1.3995953
2249,Davenport University,Private Non-profit,Selective private,Four-year,MI,949,20.412642,6.1021118,1.2456023
2918,Davidson College,Private Non-profit,Other elite schools (public and private),Four-year,NC,409.33334,1.3816977,29.688522,.41020563
2919,Davidson County Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,393,12.63378,5.9372063,.75009358
3811,Davis & Elkins College,Private Non-profit,Selective private,Four-year,WV,119.66666,10.979949,5.0886197,.55872786
21566,Davis Applied Technology College,Public,Two-year (public and private not-for-profit),Two-year,UT,321.66666,4.9927335,8.311017,.41494691
2529,Dawson Community College,Public,Two-year (public and private not-for-profit),Two-year,MT,120.33334,16.631769,5.6785355,.9444409
1475,Daytona State College,Public,Nonselective four-year public,Four-year,FL,1856.3334,20.341427,7.8678384,1.6004307
1792,DePauw University,Private Non-profit,Selective private,Four-year,IN,523.33331,2.4250989,37.425934,.90761596
3986,DeSales University,Private Non-profit,Selective private,Four-year,PA,281.5,3.5594914,19.232121,.6845656
2144,Dean College,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,MA,311,9.3972778,9.2636871,.87053448
3041,Defiance College,Private Non-profit,Selective private,Four-year,OH,152.5,5.1063719,21.671816,1.1066434
3563,Del Mar College,Public,Two-year (public and private not-for-profit),Two-year,TX,1899.6666,22.380438,16.410892,3.6728296
7110,Delaware County Community College,Public,Two-year (public and private not-for-profit),Two-year,PA,1660.3334,8.7870369,14.617175,1.2844164
7053,Delaware Technical Community College - Owens Campus,Public,Two-year (public and private not-for-profit),Two-year,DE,487.66666,13.990191,8.5850124,1.2010596
11727,"Delaware Technical Community College of Dover, DE",Public,Two-year (public and private not-for-profit),Two-year,DE,308,12.873239,11.062877,1.4241506
21449,"Delaware Technical Community College of Wilmington, DE",Public,Two-year (public and private not-for-profit),Two-year,DE,1079.3334,7.7616043,11.83896,.91889322
3252,Delaware Valley College Of Science & Agriculture,Private Non-profit,Selective private,Four-year,PA,316,6.2112503,26.223236,1.6287909
4625,Delgado Community College,Public,Two-year (public and private not-for-profit),Two-year,LA,2348.3333,28.750584,7.4676185,2.1469839
2251,Delta College,Public,Two-year (public and private not-for-profit),Two-year,MI,2036.6666,11.479628,9.288785,1.0663178
2403,Delta State University,Public,Selective public,Four-year,MS,399.5,16.261435,13.811943,2.2460201
3042,Denison University,Private Non-profit,Highly selective private,Four-year,OH,499,3.1097684,30.201096,.93918413
1671,Depaul University,Private Non-profit,Selective private,Four-year,IL,1937.3334,6.6376405,43.01757,2.8553517
7120,Des Moines Area Community College,Public,Two-year (public and private not-for-profit),Two-year,IA,2491.6667,8.464777,9.0053339,.76228142
91,"Devry University, Devry Institute Of Technology And Denver Technical College",Private For-profit,Four-year for-profit,Four-year,IL,7212,17.623381,24.265957,4.2764816
3253,Dickinson College,Private Non-profit,Highly selective private,Four-year,PA,541,2.2410417,53.980751,1.2097311
2989,Dickinson State University,Public,Selective public,Four-year,ND,343,13.897127,29.488029,4.0979886
37243,Digipen Institute Of Technology,Private For-profit,Four-year for-profit,Four-year,WA,88.5,4.3147097,31.228262,1.3474088
2004,Dillard University,Private Non-profit,Selective private,Four-year,LA,414.16666,24.772984,20.298244,5.0284805
3671,Dixie State University,Public,Nonselective four-year public,Four-year,UT,1364.6666,8.8813763,16.550627,1.4699235
2544,Doane College,Private Non-profit,Selective private,Four-year,NE,263.33334,5.8835039,24.703394,1.453425
1913,Dodge City Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,251,16.480404,6.6671429,1.0987722
2713,Dominican College Of Blauvelt,Private Non-profit,Selective private,Four-year,NY,140,7.5897069,48.201897,3.6583827
1750,Dominican University,Private Non-profit,Selective private,Four-year,IL,200,6.0727091,23.377237,1.4196316
1196,Dominican University Of California,Private Non-profit,Selective private,Four-year,CA,137.66667,6.0711908,52.676445,3.1980877
1859,Dordt College,Private Non-profit,Selective private,Four-year,IA,305.33334,3.7580972,9.1108131,.34239319
4692,Dorsey School Of Business,Private For-profit,Less than two-year schools of any type,Less than Two-year,MI,108,22.166904,.11776482,.026104815
25882,Douglas J Aveda Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,MI,77,3.3618624,1.122188,.037726413
2667,Dowling College,Private Non-profit,Selective private,Four-year,NY,275,16.336199,30.326214,4.9541502
1860,Drake University,Private Non-profit,Selective private,Four-year,IA,658.33331,3.651639,47.852005,1.7473824
2603,Drew University,Private Non-profit,Selective private,Four-year,NJ,339.66666,4.0804567,56.508553,2.3058069
2461,Drury University,Private Non-profit,Selective private,Four-year,MO,526.33331,11.019837,11.072533,1.220175
2920,Duke University,Private Non-profit,Ivy Plus,Four-year,NC,1500,3.1803749,50.391167,1.6026281
4641,Dunwoody College Of Technology,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,MN,336.66666,3.501863,40.861748,1.4309225
3258,Duquesne University Of The Holy Spirit,Private Non-profit,Selective private,Four-year,PA,1116.3334,4.1523314,41.347485,1.7168846
5448,Durham Technical Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,507.33334,16.234961,4.4948645,.72973955
2864,Dutchess Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,1283,9.1885271,16.987471,1.5608984
6835,Dyersburg State Community College,Public,Two-year (public and private not-for-profit),Two-year,TN,466,17.251747,5.4994879,.94875777
25561,ETI School Of Skilled Trades,Private For-profit,Less than two-year schools of any type,Less than Two-year,IL,138.5,14.308093,22.285027,3.1885624
1793,Earlham College,Private Non-profit,Selective private,Four-year,IN,249.5,5.0809903,4.8093977,.24436502
12260,East Arkansas Community College,Public,Two-year (public and private not-for-profit),Two-year,AR,213,34.596859,5.7789979,1.9993517
2923,East Carolina University,Public,Selective public,Four-year,NC,2794.6667,6.1542444,19.389063,1.1932503
8862,East Central College,Public,Two-year (public and private not-for-profit),Two-year,MO,607,10.305495,11.358675,1.1705676
2404,East Central Community College,Public,Two-year (public and private not-for-profit),Two-year,MS,484,30.573347,8.5294905,2.6077507
10997,East Georgia State College,Public,Nonselective four-year public,Four-year,GA,349,21.354727,6.5683661,1.4026568
2405,East Mississippi Community College,Public,Two-year (public and private not-for-profit),Two-year,MS,861.33331,28.596041,6.6403613,1.8988805
3320,East Stroudsburg University Of Pennsylvania,Public,Selective public,Four-year,PA,958.66669,6.7312331,25.283506,1.7018918
3487,East Tennessee State University,Public,Selective public,Four-year,TN,1442.3334,10.34819,14.48271,1.4986985
3564,East Texas Baptist University,Private Non-profit,Selective private,Four-year,TX,270.33334,10.71303,13.898809,1.4889835
1073,Eastern Arizona College,Public,Two-year (public and private not-for-profit),Two-year,AZ,453.66666,14.34419,16.028936,2.299221
22724,Eastern College Of Health Vocations,Private For-profit,Less than two-year schools of any type,Less than Two-year,AR,143,41.119553,1.1455981,.47106481
1425,Eastern Connecticut State University,Public,Selective public,Four-year,CT,805.66669,4.3887377,20.277504,.88992643
1470,Eastern Florida State College,Public,Nonselective four-year public,Four-year,FL,1995.3334,14.6599,10.042323,1.4721944
7275,Eastern Gateway Community College,Public,Two-year (public and private not-for-profit),Two-year,OH,267.5,16.253283,6.1102586,.99311757
11133,Eastern Idaho Technical College,Public,Two-year (public and private not-for-profit),Two-year,ID,134.5,15.435266,14.377602,2.2192211
1674,Eastern Illinois University,Public,Selective public,Four-year,IL,1667,3.7304859,25.889879,.96581829
80,Eastern Iowa Community College District,Public,Two-year (public and private not-for-profit),Two-year,IA,1237,9.6413555,8.5836048,.82757586
1963,Eastern Kentucky University,Public,Selective public,Four-year,KY,2071.6667,14.080455,10.801895,1.5209559
3708,Eastern Mennonite University,Private Non-profit,Selective private,Four-year,VA,181.5,5.2225251,19.171816,1.0012529
2259,Eastern Michigan University,Public,Selective public,Four-year,MI,2855,6.1472073,19.0112,1.1686578
2145,Eastern Nazarene College,Private Non-profit,Selective private,Four-year,MA,161,7.5436168,17.62532,1.3295865
2651,Eastern New Mexico University,Public,Selective public,Four-year,NM,976,22.382048,9.5608931,2.1399238
3155,Eastern Oklahoma State College,Public,Two-year (public and private not-for-profit),Two-year,OK,296.66666,23.353476,11.31069,2.6414392
3193,Eastern Oregon University,Public,Selective public,Four-year,OR,341,10.578898,18.438559,1.9505963
3748,Eastern Shore Community College,Public,Two-year (public and private not-for-profit),Two-year,VA,129.66667,37.020294,6.9250832,2.5636859
3259,Eastern University,Private Non-profit,Selective private,Four-year,PA,340.66666,4.453207,15.875813,.70698279
3775,Eastern Washington University,Public,Selective public,Four-year,WA,1135,6.8264976,28.165594,1.9227237
3929,Eastern Wyoming College,Public,Two-year (public and private not-for-profit),Two-year,WY,205,18.12192,15.351831,2.7820466
1487,Eckerd College,Private Non-profit,Selective private,Four-year,FL,332.66666,4.756094,24.144747,1.1483468
68,Ecpi University And Skyline Colleges,Private For-profit,Four-year for-profit,Four-year,VA,766,19.131514,10.591385,2.0262921
8855,Edgecombe Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,255.66667,34.405361,4.1779871,1.4374515
3848,Edgewood College,Private Non-profit,Selective private,Four-year,WI,217.33333,5.9073353,20.91234,1.2353619
3321,Edinboro University Of Pennsylvania,Public,Selective public,Four-year,PA,1316.3334,8.1304703,12.415309,1.0094229
1477,Edison State College,Public,Nonselective four-year public,Four-year,FL,1573.6666,14.622974,11.691926,1.7097075
5001,Edmonds Community College,Public,Two-year (public and private not-for-profit),Two-year,WA,1084,8.4483299,18.885071,1.5954733
1197,El Camino College,Public,Two-year (public and private not-for-profit),Two-year,CA,3618.3333,21.975967,14.19317,3.1190863
10387,El Paso Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,2837.6667,40.920174,11.668072,4.7745953
21661,Elaine P. Nunez Community College,Public,Two-year (public and private not-for-profit),Two-year,LA,291.5,25.470055,10.041587,2.5575976
1675,Elgin Community College,Public,Two-year (public and private not-for-profit),Two-year,IL,1311,5.8901091,17.83371,1.0504248
2926,Elizabeth City State University,Public,Selective public,Four-year,NC,334.66666,32.103271,12.077756,3.8773549
3262,Elizabethtown College,Private Non-profit,Selective private,Four-year,PA,398,2.7147357,34.432831,.93476039
1676,Elmhurst College,Private Non-profit,Selective private,Four-year,IL,345,4.7116985,34.968952,1.6476316
2718,Elmira College,Private Non-profit,Selective private,Four-year,NY,241.5,5.0351238,27.18766,1.3689325
2927,Elon University,Private Non-profit,Highly selective private,Four-year,NC,946.33331,2.0629592,30.853525,.63649565
1479,Embry-Riddle Aeronautical University,Private Non-profit,Selective private,Four-year,FL,1401.6666,7.2243505,48.158756,3.4791574
2146,Emerson College,Private Non-profit,Highly selective private,Four-year,MA,646.66669,3.9237924,27.489666,1.0786374
5596,Emily Griffith Technical College,Public,Less than two-year schools of any type,Less than Two-year,CO,307,20.666222,11.578713,2.3928826
2147,"Emmanuel College of Boston, MA",Private Non-profit,Selective private,Four-year,MA,242,5.5309253,33.896057,1.8747658
1563,"Emmanuel College of Franklin Springs, GA",Private Non-profit,Nonselective four-year private not-for-profit,Four-year,GA,180.33333,12.578649,11.17912,1.4061822
3709,Emory & Henry College,Private Non-profit,Selective private,Four-year,VA,226,7.185431,20.924412,1.503509
1564,Emory University,Private Non-profit,Other elite schools (public and private),Four-year,GA,1422.6666,3.6100194,49.876358,1.8005463
10542,"Empire Beauty School of Moosic, PA",Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,941.5,20.994507,1.0948609,.22986066
21732,"Empire Beauty School of New York, NY",Private For-profit,Less than two-year schools of any type,Less than Two-year,NY,137,26.611944,4.0447435,1.0763849
8178,"Empire Beauty School of Philadelphia, PA",Private For-profit,Less than two-year schools of any type,Less than Two-year,PA,120,8.7379227,.093946882,.008209005
9459,"Empire Beauty School of Portland, ME",Private For-profit,Less than two-year schools of any type,Less than Two-year,ME,93.5,21.503704,0,0
21796,"Empire Beauty School of Somersworth, NH",Private For-profit,Less than two-year schools of any type,Less than Two-year,NH,109.5,16.924217,5.0952339,.86232841
1927,Emporia State University,Public,Selective public,Four-year,KS,798.33331,5.7322426,12.76732,.73185366
2148,Endicott College,Private Non-profit,Selective private,Four-year,MA,288,3.760685,37.753185,1.4197783
1015,Enterprise State Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,289,19.608747,12.153184,2.3830872
10684,Erie Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,2363.6667,12.134389,10.450539,1.2681091
3432,Erskine College,Private Non-profit,Selective private,Four-year,SC,131,5.7901049,2.7072585,.15675311
7107,Essex County College,Public,Two-year (public and private not-for-profit),Two-year,NJ,972,25.286119,13.015045,3.2910001
1678,Eureka College,Private Non-profit,Selective private,Four-year,IL,96.5,9.4731178,19.28916,1.8272847
2463,Evangel University,Private Non-profit,Selective private,Four-year,MO,349,6.7093925,14.262077,.95689875
30032,"Everest Institute of Miami, FL",Private For-profit,Two-year for-profit,Two-year,FL,206,43.360264,3.8990378,1.6906331
3776,Everett Community College,Public,Two-year (public and private not-for-profit),Two-year,WA,1050.6666,7.8344264,12.518479,.98075104
8155,Evergreen State College ,Public,Selective public,Four-year,WA,560.66669,6.6182418,7.7721453,.51437938
1385,Fairfield University,Private Non-profit,Selective private,Four-year,CT,863,2.4959581,63.194359,1.5773047
222,Fairleigh Dickinson University,Private Non-profit,Selective private,Four-year,NJ,780.66669,9.5446501,34.902512,3.3313227
11112,Fashion Institute Of Design & Merchandising,Private For-profit,Four-year for-profit,Four-year,CA,932.5,11.1849,22.536097,2.5206399
2866,Fashion Institute Of Technology,Public,Selective public,Four-year,NY,1208.3334,12.86495,28.359838,3.6484792
1003,Faulkner University,Private Non-profit,Selective private,Four-year,AL,227.66667,16.254694,4.4266367,.71953624
2928,Fayetteville State University,Public,Selective public,Four-year,NC,636.33331,25.220098,9.6434212,2.4320803
7640,Fayetteville Technical Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,1415.3334,21.66733,8.6847038,1.8817434
8597,Feather River College,Public,Two-year (public and private not-for-profit),Two-year,CA,179,17.68251,8.6481285,1.5292063
2610,Felician College,Private Non-profit,Selective private,Four-year,NJ,149.66667,12.820392,19.016153,2.4379454
2260,Ferris State University,Public,Selective public,Four-year,MI,1717.3334,9.1469402,18.554924,1.6972079
3711,Ferrum College,Private Non-profit,Selective private,Four-year,VA,213.66667,11.282829,14.24159,1.6068542
7532,Finger Lakes Community College - SUNY Office Of Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,841.33331,11.261027,11.742464,1.3223222
2150,Fisher College,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,MA,228.66667,18.575293,12.65041,2.3498507
2184,Fitchburg State University,Public,Selective public,Four-year,MA,510,5.6541305,30.897442,1.7469816
7893,Flagler College,Private Non-profit,Selective private,Four-year,FL,408,4.7652149,31.75666,1.5132731
6777,Flathead Valley Community College,Public,Two-year (public and private not-for-profit),Two-year,MT,311,16.455267,11.353285,1.8682133
3990,Florence - Darlington Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,776,27.59634,5.3210702,1.4684206
1480,Florida Agricultural & Mechanical University,Public,Selective public,Four-year,FL,2142.6667,15.397835,21.212914,3.2663293
