super_opeid,name,type,tier,iclevel,state,parq,success_by_q,percent
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,1,4.5164714,44.357517
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,2,8.4689856,32.67902
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,3,7.0037613,14.371077
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,4,11.564406,5.9706769
30955,ASA Institute Of Business & Computer Technology,Private For-profit,Two-year for-profit,Two-year,NY,5,19.723282,2.6217194
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,1,27.390284,5.2441354
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,2,24.765148,10.103199
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,3,20.166176,16.393574
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,4,31.467104,25.824007
3537,Abilene Christian University,Private Non-profit,Selective private,Four-year,TX,5,36.187241,42.435089
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,1,9.6129665,15.455516
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,2,14.24761,18.715858
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,3,16.164011,22.549702
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,4,20.123436,23.676256
1541,Abraham Baldwin Agricultural College,Public,Nonselective four-year public,Four-year,GA,5,22.507202,19.602654
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,1,17.490002,9.3524237
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,2,24.405495,12.291716
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,3,25.113821,17.53495
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,4,25.191446,21.152514
7531,Academy Of Art University,Private For-profit,Four-year for-profit,Four-year,CA,5,29.660494,39.668404
1345,Adams State University,Public,Selective public,Four-year,CO,1,14.582914,12.922439
1345,Adams State University,Public,Selective public,Four-year,CO,2,16.243258,18.55039
1345,Adams State University,Public,Selective public,Four-year,CO,3,20.204861,24.842876
1345,Adams State University,Public,Selective public,Four-year,CO,4,20.343369,26.087633
1345,Adams State University,Public,Selective public,Four-year,CO,5,29.156368,17.596664
2666,Adelphi University,Private Non-profit,Selective private,Four-year,NY,1,37.433441,8.7048025
2666,Adelphi University,Private Non-profit,Selective private,Four-year,NY,2,41.274349,12.853861
2666,Adelphi University,Private Non-profit,Selective private,Four-year,NY,3,43.504791,15.643388
2666,Adelphi University,Private Non-profit,Selective private,Four-year,NY,4,42.808472,22.986456
2666,Adelphi University,Private Non-profit,Selective private,Four-year,NY,5,48.624573,39.811497
2860,Adirondack Community College - SUNY Office Of Community Colleges,Public,Two-year (public and private not-for-profit),Two-year,NY,1,8.6981258,11.428819
2860,Adirondack Community College - SUNY Office Of Community Colleges,Public,Two-year (public and private not-for-profit),Two-year,NY,2,15.20857,17.760714
2860,Adirondack Community College - SUNY Office Of Community Colleges,Public,Two-year (public and private not-for-profit),Two-year,NY,3,16.107651,25.521887
2860,Adirondack Community College - SUNY Office Of Community Colleges,Public,Two-year (public and private not-for-profit),Two-year,NY,4,19.302664,29.444923
2860,Adirondack Community College - SUNY Office Of Community Colleges,Public,Two-year (public and private not-for-profit),Two-year,NY,5,21.631935,15.843659
2234,Adrian College,Private Non-profit,Selective private,Four-year,MI,1,15.741579,6.0760288
2234,Adrian College,Private Non-profit,Selective private,Four-year,MI,2,22.423662,11.535594
2234,Adrian College,Private Non-profit,Selective private,Four-year,MI,3,21.611544,20.081326
2234,Adrian College,Private Non-profit,Selective private,Four-year,MI,4,27.507061,28.132689
2234,Adrian College,Private Non-profit,Selective private,Four-year,MI,5,33.869484,34.174355
11484,Advanced Institute Of Hair Design,Private For-profit,Two-year for-profit,Two-year,WI,1,77.881294,2.5902088
11484,Advanced Institute Of Hair Design,Private For-profit,Two-year for-profit,Two-year,WI,2,3.7713814,11.116548
11484,Advanced Institute Of Hair Design,Private For-profit,Two-year for-profit,Two-year,WI,3,3.9753127,25.450274
11484,Advanced Institute Of Hair Design,Private For-profit,Two-year for-profit,Two-year,WI,4,3.9508641,40.800014
11484,Advanced Institute Of Hair Design,Private For-profit,Two-year for-profit,Two-year,WI,5,8.7077217,20.042955
31275,Advanced Technology Institute,Private For-profit,Two-year for-profit,Two-year,VA,1,19.706888,15.953134
31275,Advanced Technology Institute,Private For-profit,Two-year for-profit,Two-year,VA,2,13.66374,21.892075
31275,Advanced Technology Institute,Private For-profit,Two-year for-profit,Two-year,VA,3,11.231909,26.273357
31275,Advanced Technology Institute,Private For-profit,Two-year for-profit,Two-year,VA,4,26.890961,22.352921
31275,Advanced Technology Institute,Private For-profit,Two-year for-profit,Two-year,VA,5,24.817654,13.528517
31155,Adventist University Of Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,FL,1,29.661634,12.763434
31155,Adventist University Of Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,FL,2,29.117918,21.570545
31155,Adventist University Of Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,FL,3,27.23929,22.54377
31155,Adventist University Of Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,FL,4,39.186314,27.373474
31155,Adventist University Of Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,FL,5,43.868549,15.748784
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,1,20.477133,7.2003045
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,2,23.168989,12.996751
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,3,16.329277,15.526837
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,4,33.343731,22.6091
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,5,33.242188,41.667007
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,1,8.5034866,20.115341
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,2,12.09877,19.178108
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,3,11.072988,18.350492
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,4,14.271766,26.164183
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,5,18.232098,16.191887
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,1,17.323408,24.356117
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,2,18.094864,26.432449
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,3,21.410379,19.608772
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,4,22.407177,17.628771
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,5,29.100159,11.973897
1034,Alabama Southern Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,1,10.472322,29.389938
1034,Alabama Southern Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,2,9.132966,22.918545
1034,Alabama Southern Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,3,15.914398,16.352982
1034,Alabama Southern Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,4,22.743298,21.245941
1034,Alabama Southern Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,5,26.241421,10.092581
5463,Alamance Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,1,3.3365202,13.409744
5463,Alamance Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,2,5.7951102,21.639305
5463,Alamance Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,3,8.6664829,24.086517
5463,Alamance Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,4,12.039057,25.753822
5463,Alamance Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,5,10.268356,15.110618
37,Alamo Community College District,Public,Two-year (public and private not-for-profit),Two-year,TX,1,11.221429,21.751642
37,Alamo Community College District,Public,Two-year (public and private not-for-profit),Two-year,TX,2,13.017568,24.149128
37,Alamo Community College District,Public,Two-year (public and private not-for-profit),Two-year,TX,3,16.276176,21.906626
37,Alamo Community College District,Public,Two-year (public and private not-for-profit),Two-year,TX,4,19.790966,19.534897
37,Alamo Community College District,Public,Two-year (public and private not-for-profit),Two-year,TX,5,21.677164,12.657699
2885,Albany College Of Pharmacy And Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,1,85.208885,3.9403558
2885,Albany College Of Pharmacy And Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,2,78.179947,10.187934
2885,Albany College Of Pharmacy And Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,3,76.731628,18.648764
2885,Albany College Of Pharmacy And Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,4,76.417297,27.667845
2885,Albany College Of Pharmacy And Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,5,78.476372,39.555107
1544,Albany State University,Public,Selective public,Four-year,GA,1,11.070278,23.301081
1544,Albany State University,Public,Selective public,Four-year,GA,2,15.359226,28.163675
1544,Albany State University,Public,Selective public,Four-year,GA,3,15.707694,21.580002
1544,Albany State University,Public,Selective public,Four-year,GA,4,15.483226,17.59358
1544,Albany State University,Public,Selective public,Four-year,GA,5,14.823236,9.36166
5601,Albany Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,1,3.2280397,44.530651
5601,Albany Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,2,3.5961285,28.822575
5601,Albany Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,3,9.8844643,13.613243
5601,Albany Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,4,5.514061,9.1694918
5601,Albany Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,5,7.2851577,3.8640351
1374,Albertus Magnus College,Private Non-profit,Selective private,Four-year,CT,1,42.551868,12.973523
1374,Albertus Magnus College,Private Non-profit,Selective private,Four-year,CT,2,19.860428,16.373674
1374,Albertus Magnus College,Private Non-profit,Selective private,Four-year,CT,3,24.072569,24.205585
1374,Albertus Magnus College,Private Non-profit,Selective private,Four-year,CT,4,29.683464,23.975485
1374,Albertus Magnus College,Private Non-profit,Selective private,Four-year,CT,5,41.942024,22.471725
2235,Albion College,Private Non-profit,Selective private,Four-year,MI,1,30.077225,2.2652307
2235,Albion College,Private Non-profit,Selective private,Four-year,MI,2,32.993568,6.9142475
2235,Albion College,Private Non-profit,Selective private,Four-year,MI,3,36.486614,13.488385
2235,Albion College,Private Non-profit,Selective private,Four-year,MI,4,32.460377,23.832628
2235,Albion College,Private Non-profit,Selective private,Four-year,MI,5,43.493443,53.499516
3229,Albright College,Private Non-profit,Selective private,Four-year,PA,1,26.647335,5.1434021
3229,Albright College,Private Non-profit,Selective private,Four-year,PA,2,31.053242,12.678949
3229,Albright College,Private Non-profit,Selective private,Four-year,PA,3,30.38257,20.365221
3229,Albright College,Private Non-profit,Selective private,Four-year,PA,4,42.261158,29.418346
3229,Albright College,Private Non-profit,Selective private,Four-year,PA,5,42.587715,32.394081
3806,Alderson Broaddus University,Private Non-profit,Selective private,Four-year,WV,1,21.464056,12.749578
3806,Alderson Broaddus University,Private Non-profit,Selective private,Four-year,WV,2,19.754557,23.491501
3806,Alderson Broaddus University,Private Non-profit,Selective private,Four-year,WV,3,25.726191,28.003561
3806,Alderson Broaddus University,Private Non-profit,Selective private,Four-year,WV,4,31.00679,23.765394
3806,Alderson Broaddus University,Private Non-profit,Selective private,Four-year,WV,5,42.77713,11.989974
2668,Alfred University,Private Non-profit,Selective private,Four-year,NY,1,22.609419,6.5330887
2668,Alfred University,Private Non-profit,Selective private,Four-year,NY,2,28.73756,12.035545
2668,Alfred University,Private Non-profit,Selective private,Four-year,NY,3,36.975166,19.156954
2668,Alfred University,Private Non-profit,Selective private,Four-year,NY,4,40.613712,26.581182
2668,Alfred University,Private Non-profit,Selective private,Four-year,NY,5,39.532715,35.693237
1111,Allan Hancock College,Public,Two-year (public and private not-for-profit),Two-year,CA,1,13.81499,14.08916
1111,Allan Hancock College,Public,Two-year (public and private not-for-profit),Two-year,CA,2,17.748087,18.905991
1111,Allan Hancock College,Public,Two-year (public and private not-for-profit),Two-year,CA,3,14.274812,23.496437
1111,Allan Hancock College,Public,Two-year (public and private not-for-profit),Two-year,CA,4,22.632961,25.687889
1111,Allan Hancock College,Public,Two-year (public and private not-for-profit),Two-year,CA,5,23.728268,17.820539
2057,Allegany College Of Maryland,Public,Two-year (public and private not-for-profit),Two-year,MD,1,12.547563,15.657393
2057,Allegany College Of Maryland,Public,Two-year (public and private not-for-profit),Two-year,MD,2,12.463984,22.410622
2057,Allegany College Of Maryland,Public,Two-year (public and private not-for-profit),Two-year,MD,3,15.628287,29.169142
2057,Allegany College Of Maryland,Public,Two-year (public and private not-for-profit),Two-year,MD,4,20.831343,22.855284
2057,Allegany College Of Maryland,Public,Two-year (public and private not-for-profit),Two-year,MD,5,19.697491,9.9075508
3230,Allegheny College,Private Non-profit,Selective private,Four-year,PA,1,35.939037,3.7381232
3230,Allegheny College,Private Non-profit,Selective private,Four-year,PA,2,35.576649,7.8848677
3230,Allegheny College,Private Non-profit,Selective private,Four-year,PA,3,43.652496,16.65498
3230,Allegheny College,Private Non-profit,Selective private,Four-year,PA,4,40.918911,28.831301
3230,Allegheny College,Private Non-profit,Selective private,Four-year,PA,5,51.344765,42.89072
1901,Allen County Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,1,10.357491,10.632456
1901,Allen County Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,2,10.81553,19.791794
1901,Allen County Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,3,11.139948,28.203197
1901,Allen County Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,4,16.986361,26.905611
1901,Allen County Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,5,17.792454,14.466943
2236,Alma College,Private Non-profit,Selective private,Four-year,MI,1,23.263311,5.0117993
2236,Alma College,Private Non-profit,Selective private,Four-year,MI,2,27.342276,9.5352125
2236,Alma College,Private Non-profit,Selective private,Four-year,MI,3,33.647175,17.640549
2236,Alma College,Private Non-profit,Selective private,Four-year,MI,4,21.029327,28.018877
2236,Alma College,Private Non-profit,Selective private,Four-year,MI,5,45.56657,39.793568
2237,Alpena Community College,Public,Two-year (public and private not-for-profit),Two-year,MI,1,9.6057673,15.903666
2237,Alpena Community College,Public,Two-year (public and private not-for-profit),Two-year,MI,2,12.242617,19.236759
2237,Alpena Community College,Public,Two-year (public and private not-for-profit),Two-year,MI,3,24.053444,28.650402
2237,Alpena Community College,Public,Two-year (public and private not-for-profit),Two-year,MI,4,26.818064,23.48613
2237,Alpena Community College,Public,Two-year (public and private not-for-profit),Two-year,MI,5,30.635872,12.723048
30321,Altamaha Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,1,6.1545224,37.032307
30321,Altamaha Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,2,8.7252769,25.208858
30321,Altamaha Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,3,5.7296982,22.068323
30321,Altamaha Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,4,15.394938,11.03714
30321,Altamaha Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,5,12.103032,4.653378
3233,Alvernia University,Private Non-profit,Selective private,Four-year,PA,1,32.86742,6.6485949
3233,Alvernia University,Private Non-profit,Selective private,Four-year,PA,2,23.710052,14.129101
3233,Alvernia University,Private Non-profit,Selective private,Four-year,PA,3,25.384771,21.616476
3233,Alvernia University,Private Non-profit,Selective private,Four-year,PA,4,33.402679,31.234125
3233,Alvernia University,Private Non-profit,Selective private,Four-year,PA,5,29.671928,26.371696
3832,Alverno College,Private Non-profit,Selective private,Four-year,WI,1,17.699276,15.033281
3832,Alverno College,Private Non-profit,Selective private,Four-year,WI,2,13.30261,19.734081
3832,Alverno College,Private Non-profit,Selective private,Four-year,WI,3,20.698727,22.081539
3832,Alverno College,Private Non-profit,Selective private,Four-year,WI,4,21.81105,27.449476
3832,Alverno College,Private Non-profit,Selective private,Four-year,WI,5,18.059898,15.701626
3539,Alvin Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,1,19.21438,9.23034
3539,Alvin Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,2,17.864962,13.839598
3539,Alvin Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,3,23.962017,18.687269
3539,Alvin Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,4,29.985575,29.412159
3539,Alvin Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,5,33.13932,28.830639
3540,Amarillo College,Public,Two-year (public and private not-for-profit),Two-year,TX,1,12.019882,16.241901
3540,Amarillo College,Public,Two-year (public and private not-for-profit),Two-year,TX,2,14.847939,22.502605
3540,Amarillo College,Public,Two-year (public and private not-for-profit),Two-year,TX,3,19.621082,22.983143
3540,Amarillo College,Public,Two-year (public and private not-for-profit),Two-year,TX,4,21.439522,24.252201
3540,Amarillo College,Public,Two-year (public and private not-for-profit),Two-year,TX,5,29.6229,14.020148
22418,"American Career College of Los Angeles, CA",Private For-profit,Two-year for-profit,Two-year,CA,1,4.7621169,41.461433
22418,"American Career College of Los Angeles, CA",Private For-profit,Two-year for-profit,Two-year,CA,2,8.2698917,28.462368
22418,"American Career College of Los Angeles, CA",Private For-profit,Two-year for-profit,Two-year,CA,3,10.606091,15.968954
22418,"American Career College of Los Angeles, CA",Private For-profit,Two-year for-profit,Two-year,CA,4,15.169006,9.0547066
22418,"American Career College of Los Angeles, CA",Private For-profit,Two-year for-profit,Two-year,CA,5,30.897993,5.0525417
3963,American Institute Of Business,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,IA,1,17.707079,8.1016321
3963,American Institute Of Business,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,IA,2,14.782244,19.41523
3963,American Institute Of Business,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,IA,3,22.613422,29.171198
3963,American Institute Of Business,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,IA,4,16.95052,30.712795
3963,American Institute Of Business,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,IA,5,28.805117,12.599143
21136,American Intercontinental University,Private For-profit,Four-year for-profit,Four-year,IL,1,10.127345,26.033289
21136,American Intercontinental University,Private For-profit,Four-year for-profit,Four-year,IL,2,10.939039,25.847679
21136,American Intercontinental University,Private For-profit,Four-year for-profit,Four-year,IL,3,13.556213,22.258297
21136,American Intercontinental University,Private For-profit,Four-year for-profit,Four-year,IL,4,14.315261,16.052973
21136,American Intercontinental University,Private For-profit,Four-year for-profit,Four-year,IL,5,25.012852,9.807745
2114,American International College,Private Non-profit,Selective private,Four-year,MA,1,18.479864,14.55442
2114,American International College,Private Non-profit,Selective private,Four-year,MA,2,23.48188,19.95191
2114,American International College,Private Non-profit,Selective private,Four-year,MA,3,27.625021,18.894041
2114,American International College,Private Non-profit,Selective private,Four-year,MA,4,39.62373,25.597811
2114,American International College,Private Non-profit,Selective private,Four-year,MA,5,36.834114,21.001818
7572,American Musical & Dramatic Academy,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,1,10.258131,6.8494349
7572,American Musical & Dramatic Academy,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,2,14.292402,13.463778
7572,American Musical & Dramatic Academy,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,3,12.588428,18.843893
7572,American Musical & Dramatic Academy,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,4,15.088727,26.431316
7572,American Musical & Dramatic Academy,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,5,18.453501,34.411587
3726,American National University,Private For-profit,Four-year for-profit,Four-year,VA,1,3.3071225,29.305914
3726,American National University,Private For-profit,Four-year for-profit,Four-year,VA,2,2.1346352,29.59623
3726,American National University,Private For-profit,Four-year for-profit,Four-year,VA,3,2.8818901,25.85285
3726,American National University,Private For-profit,Four-year for-profit,Four-year,VA,4,5.0979671,11.077217
3726,American National University,Private For-profit,Four-year for-profit,Four-year,VA,5,.27223405,4.1677852
1434,American University ,Private Non-profit,Highly selective private,Four-year,DC,1,36.376553,3.5309114
1434,American University ,Private Non-profit,Highly selective private,Four-year,DC,2,54.287823,6.6071382
1434,American University ,Private Non-profit,Highly selective private,Four-year,DC,3,52.374905,10.890936
1434,American University ,Private Non-profit,Highly selective private,Four-year,DC,4,55.28569,17.679564
1434,American University ,Private Non-profit,Highly selective private,Four-year,DC,5,53.863888,61.291458
2115,Amherst College,Private Non-profit,Other elite schools (public and private),Four-year,MA,1,46.467812,4.2215958
2115,Amherst College,Private Non-profit,Other elite schools (public and private),Four-year,MA,2,61.880173,5.998836
2115,Amherst College,Private Non-profit,Other elite schools (public and private),Four-year,MA,3,55.451786,9.4621267
2115,Amherst College,Private Non-profit,Other elite schools (public and private),Four-year,MA,4,50.646461,9.715147
2115,Amherst College,Private Non-profit,Other elite schools (public and private),Four-year,MA,5,61.714138,70.602295
1784,Ancilla Domini College,Private Non-profit,Two-year (public and private not-for-profit),Two-year,IN,1,6.1690397,10.462378
1784,Ancilla Domini College,Private Non-profit,Two-year (public and private not-for-profit),Two-year,IN,2,16.158724,20.454895
1784,Ancilla Domini College,Private Non-profit,Two-year (public and private not-for-profit),Two-year,IN,3,8.5562305,28.308891
1784,Ancilla Domini College,Private Non-profit,Two-year (public and private not-for-profit),Two-year,IN,4,13.869457,27.075191
1784,Ancilla Domini College,Private Non-profit,Two-year (public and private not-for-profit),Two-year,IN,5,28.053097,13.698658
1785,"Anderson University of Anderson, IN",Private Non-profit,Selective private,Four-year,IN,1,13.535394,5.271863
1785,"Anderson University of Anderson, IN",Private Non-profit,Selective private,Four-year,IN,2,21.519531,9.819026
1785,"Anderson University of Anderson, IN",Private Non-profit,Selective private,Four-year,IN,3,19.751686,21.165113
1785,"Anderson University of Anderson, IN",Private Non-profit,Selective private,Four-year,IN,4,21.96364,30.204178
1785,"Anderson University of Anderson, IN",Private Non-profit,Selective private,Four-year,IN,5,25.938501,33.539814
3418,"Anderson University of Anderson, SC",Private Non-profit,Nonselective four-year private not-for-profit,Four-year,SC,1,14.020874,8.5361471
3418,"Anderson University of Anderson, SC",Private Non-profit,Nonselective four-year private not-for-profit,Four-year,SC,2,13.285894,14.384307
3418,"Anderson University of Anderson, SC",Private Non-profit,Nonselective four-year private not-for-profit,Four-year,SC,3,5.9512281,23.654573
3418,"Anderson University of Anderson, SC",Private Non-profit,Nonselective four-year private not-for-profit,Four-year,SC,4,10.739376,31.470928
3418,"Anderson University of Anderson, SC",Private Non-profit,Nonselective four-year private not-for-profit,Four-year,SC,5,20.065962,21.954044
2238,Andrews University,Private Non-profit,Selective private,Four-year,MI,1,25.738012,9.3424969
2238,Andrews University,Private Non-profit,Selective private,Four-year,MI,2,26.434872,17.074327
2238,Andrews University,Private Non-profit,Selective private,Four-year,MI,3,27.398502,23.247667
2238,Andrews University,Private Non-profit,Selective private,Four-year,MI,4,29.007513,26.152712
2238,Andrews University,Private Non-profit,Selective private,Four-year,MI,5,36.035408,24.182814
6661,Angelina College,Public,Two-year (public and private not-for-profit),Two-year,TX,1,8.7828455,26.211666
6661,Angelina College,Public,Two-year (public and private not-for-profit),Two-year,TX,2,11.899942,24.923988
6661,Angelina College,Public,Two-year (public and private not-for-profit),Two-year,TX,3,15.763588,22.263775
6661,Angelina College,Public,Two-year (public and private not-for-profit),Two-year,TX,4,19.062641,16.984451
6661,Angelina College,Public,Two-year (public and private not-for-profit),Two-year,TX,5,26.793209,9.616128
3541,Angelo State University,Public,Selective public,Four-year,TX,1,18.082207,11.666122
3541,Angelo State University,Public,Selective public,Four-year,TX,2,24.873503,17.981094
3541,Angelo State University,Public,Selective public,Four-year,TX,3,25.840033,25.133205
3541,Angelo State University,Public,Selective public,Four-year,TX,4,29.365326,27.265512
3541,Angelo State University,Public,Selective public,Four-year,TX,5,34.836369,17.954073
2117,Anna Maria College,Private Non-profit,Selective private,Four-year,MA,1,33.853336,5.0080614
2117,Anna Maria College,Private Non-profit,Selective private,Four-year,MA,2,31.681356,12.086296
2117,Anna Maria College,Private Non-profit,Selective private,Four-year,MA,3,25.20833,18.476795
2117,Anna Maria College,Private Non-profit,Selective private,Four-year,MA,4,27.057991,30.326933
2117,Anna Maria College,Private Non-profit,Selective private,Four-year,MA,5,30.538216,34.101921
2058,Anne Arundel Community College,Public,Two-year (public and private not-for-profit),Two-year,MD,1,19.617638,6.2969222
2058,Anne Arundel Community College,Public,Two-year (public and private not-for-profit),Two-year,MD,2,20.230125,11.771846
2058,Anne Arundel Community College,Public,Two-year (public and private not-for-profit),Two-year,MD,3,23.381794,18.344227
2058,Anne Arundel Community College,Public,Two-year (public and private not-for-profit),Two-year,MD,4,26.947556,28.18532
2058,Anne Arundel Community College,Public,Two-year (public and private not-for-profit),Two-year,MD,5,30.577892,35.401691
1113,Antelope Valley College,Public,Two-year (public and private not-for-profit),Two-year,CA,1,11.75501,16.401859
1113,Antelope Valley College,Public,Two-year (public and private not-for-profit),Two-year,CA,2,16.069857,17.474609
1113,Antelope Valley College,Public,Two-year (public and private not-for-profit),Two-year,CA,3,18.62324,21.986828
1113,Antelope Valley College,Public,Two-year (public and private not-for-profit),Two-year,CA,4,23.930819,26.28038
1113,Antelope Valley College,Public,Two-year (public and private not-for-profit),Two-year,CA,5,24.140436,17.856316
24,Anthem College And The Bryman School Of Arizona,Private For-profit,Four-year for-profit,Four-year,AZ,1,4.8730936,26.990732
24,Anthem College And The Bryman School Of Arizona,Private For-profit,Four-year for-profit,Four-year,AZ,2,8.9742851,29.60939
24,Anthem College And The Bryman School Of Arizona,Private For-profit,Four-year for-profit,Four-year,AZ,3,8.5325603,21.190222
24,Anthem College And The Bryman School Of Arizona,Private For-profit,Four-year for-profit,Four-year,AZ,4,11.381349,15.714025
24,Anthem College And The Bryman School Of Arizona,Private For-profit,Four-year for-profit,Four-year,AZ,5,17.513689,6.4956465
111,Anthem Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,NJ,1,16.600492,18.898329
111,Anthem Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,NJ,2,17.594206,22.520447
111,Anthem Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,NJ,3,24.15781,19.635899
111,Anthem Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,NJ,4,31.355387,20.6406
111,Anthem Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,NJ,5,31.842344,18.304739
12891,Antonelli College,Private For-profit,Two-year for-profit,Two-year,MS,1,3.6114161,32.667789
12891,Antonelli College,Private For-profit,Two-year for-profit,Two-year,MS,2,2.4615278,23.901823
12891,Antonelli College,Private For-profit,Two-year for-profit,Two-year,MS,3,6.761683,16.7437
12891,Antonelli College,Private For-profit,Two-year for-profit,Two-year,MS,4,5.6868119,16.681309
12891,Antonelli College,Private For-profit,Two-year for-profit,Two-year,MS,5,13.794576,10.00539
2906,Appalachian State University,Public,Selective public,Four-year,NC,1,15.233072,3.5452352
2906,Appalachian State University,Public,Selective public,Four-year,NC,2,19.811934,8.0750084
2906,Appalachian State University,Public,Selective public,Four-year,NC,3,21.497704,15.510227
2906,Appalachian State University,Public,Selective public,Four-year,NC,4,25.803453,26.79571
2906,Appalachian State University,Public,Selective public,Four-year,NC,5,31.683874,46.073814
2239,Aquinas College,Private Non-profit,Selective private,Four-year,MI,1,17.16297,3.4027312
